Rank,Company,Website,HQ City,HQ State,Primary Services,Est. Employees,Est. Techs,States Served / Coverage,Independent?,Hiring Signal (role),Hiring Source URL,Notes,Confidence (1-10)
1,Excel Mechanical Contractors,https://www.excel-mechanical.com/,Baltimore,Rosedale MD (HQ noted as Baltimore),Commercial HVAC/R + refrigeration service,Estimate 40-80,Estimate 10-25,MD DC PA DE WV,Yes (appears independent),HVAC/R Service Technician (Union),https://www.excel-mechanical.com/career/hvac-r-service-technician-union/,Careers page lists multiple open roles and service footprint.,9
2,Delval Equipment,https://delval.com/,Sykesville,MD,Boiler/burner + steam/hot water equipment service/startup/controls,Estimate 50-120,Estimate 15-35,MD + PA/region (multi-location),Unknown (appears independent/regional),Industrial Boiler/Burner Technician / Field Service Technician,https://delval.com/job/service-technician/,Dedicated job posting with detailed field tech duties.,9
3,Geiger Pump & Equipment,https://www.geigerinc.com/,Baltimore,MD (also Aston & York PA locations),Industrial pump + process equipment solutions + field service,Estimate 50-120,Estimate 10-30,MD + PA (Aston/York) Mid-Atlantic,Yes (appears independent),Parts & Aftermarket Specialist / Field Service mention,https://www.geigerinc.com/careers/,Careers page explicitly states Baltimore MD + Aston/York PA locations and “need for a Field Service Technician” (page text).,8
4,GMS Inc. (General Mechanical Services),https://gms-hvac.com/,Unknown (MD-based),MD,Commercial HVAC + plumbing + electrical + refrigeration + data center cooling,Estimate 40-120,Estimate 10-30,MD VA DC DE PA,Yes/Unknown,Careers page (union shop; recruiting posture),https://gms-hvac.com/about/careers/,Careers page describes “fast-growing” + service squad; doesn’t list specific openings in fetched text.,8
5,Mid-Atlantic Controls Corp.,https://www.midatlanticcontrols.com/,Richmond,VA,Building Automation Systems (BAS) install/service/engineering,Estimate 10-60,Estimate 5-20,VA MD DC (regional),Yes,BAS Technician / BAS Installation Mechanic / BAS Application Engineer (download JDs),https://www.midatlanticcontrols.com/about/careers/,Explicit “We’re Hiring” page with downloadable job descriptions and Richmond location.,8
6,Able Mechanical Inc.,https://ablemechanical.com/,Unknown,NJ,Commercial HVAC service (union-affiliated),Estimate 10-60,Estimate 5-20,NJ (commercial),Yes,HVAC Service Technician (commercial),https://ablemechanical.com/careers/,Careers page describes company (since 1993) and lists HVAC Service Technician description.,8
7,EVCO Mechanical,https://evcomechanical.com/,West Orange,NJ,Mechanical + electrical + controls projects; HVAC/boiler troubleshooting,Estimate 20-100,Estimate 5-25,NJ/tri-state,Yes/Unknown,General hiring call for skilled individuals,https://evcomechanical.com/careers/,Careers page includes address/phone and skills sought (HVAC/electrical/plumbing/engineering).,7
8,Dual Temp Company, Inc.,https://dualtemp.com/,Allentown,PA,Mechanical contracting (HVAC/R + plumbing + building automation) incl. service,Estimate 80-200,Estimate 20-50,PA + Western NJ,Yes/Unknown,Commercial HVAC Service Technician,https://dualtemp.com/jobs/commercial-hvac-service-technician/,Has a jobs section with a specific commercial service tech posting.,7
9,Allegheny Refrigeration,https://www.alleghenyrefrig.com/,Pittsburgh,PA,Commercial refrigeration + foodservice equipment service,Estimate 30-120,Estimate 10-30,Western PA region,Yes/Unknown,Refrigeration Service Technician (job board listing),https://www.tealhq.com/job/refrigeration-service-technician_90c3a7ff-4b2d-47a5-bdb9-bf92d9af236c,Couldn’t quickly locate a dedicated careers page on main domain; job listing indicates active hiring.,7
10,A/C Control, Inc.,Unknown (no official site captured),Warrenton,VA,Commercial HVAC mechanical contractor/service,Estimate 10-60,Estimate 5-20,Northern VA,Yes/Unknown,HVAC Service Technician,https://www.glassdoor.com/job-listing/hvac-service-technician-a-c-control-inc-JV_IC1130418_KO0,23_KE24,39.htm?jl=1009312438360,Hiring signal via Glassdoor posting (not company site). Need website validation.,6
11,Capitol Boiler Works,https://www.capitolboilerworks.com/,Springfield,VA (also Baltimore MD + Ashland VA + Salisbury MD),Commercial HVAC + plumbing service,Estimate 80-200,Estimate 20-50,VA MD DC region,No/Unknown (page footer indicates Service Logic),Careers page indicates available positions,https://www.capitolboilerworks.com/about-us/careers,Careers page exists but ownership suggests larger roll-up; may violate “avoid franchises/nationals”. Include only if allowed.,5
12,GCB Industries (GCB Ignite),https://gcbindustries.com/,Houston,TX (not Mid-Atlantic),Industrial combustion/burner field service,Unknown,Unknown,Remote + travel,Unknown,Combustion Service Engineer/Technician,https://gcbindustries.com/careers/,Not Mid-Atlantic HQ; included as example of burner/combustion field service hiring page; likely should be excluded from final list.,3
13,EMJAY Engineering & Construction Co., Inc.,https://www.emjaycons.com,Baltimore,MD,Mechanical contracting/commercial HVAC,Unknown,Unknown,MD DC VA,Yes/Unknown,Company profile on Indeed (hiring signal indirect),https://www.indeed.com/cmp/Emjay-Engineering-and-Construction,Could not confirm a dedicated careers page quickly. Keep as low-confidence add.,4
14,South Mountain Mechanical Contractors,https://www.smmci.com/,Woodbine,MD,Commercial/industrial HVAC & refrigeration (site claim),Unknown,Unknown,MD region,Yes/Unknown,No explicit hiring signal found,Unknown,Good fit by profile but missing job/careers signal in this run.,3
